region,return,hos_count,return/hos,effect_%
北海道,-45128844,1960,-23024,-18.946574070711367
東北,129962649,3662,35489,34.6136808058342
関東,136412072,16147,8448,7.300709087634936
中部,360341812,8059,44712,42.35617019376987
近畿,273553174,8808,31057,32.09462970853218
中国,-4549752,3546,-1283,-1.7343720363117932
四国,17952308,1734,10353,8.884214537872293
九州,452217,6456,70,0.12596816694730598
