       0 686769732723871.50000 781343174.03409 686770514067045.50000
      10 686769732723871.25000   -0.11107 686769732723871.12500
      20 686769732723871.37500   -0.11132 686769732723871.25000
      30 686769732723871.37500   -0.11159 686769732723871.25000
      40 686769732723871.37500   -0.11187 686769732723871.25000
      50 686769732723871.37500   -0.11216 686769732723871.25000
      60 686769732723871.25000   -0.11247 686769732723871.12500
      70 686769732723871.25000   -0.11280 686769732723871.12500
      80 686769732723871.37500   -0.11314 686769732723871.25000
      90 686769732723871.37500   -0.11349 686769732723871.25000
     100 686769732723871.25000   -0.11386 686769732723871.12500
     110 686769732723871.50000   -0.11425 686769732723871.37500
     120 686769732723871.37500   -0.11465 686769732723871.25000
     130 686769732723871.25000   -0.11507 686769732723871.12500
     140 686769732723871.37500   -0.11551 686769732723871.25000
     150 686769732723871.25000   -0.11596 686769732723871.12500
     160 686769732723871.25000   -0.11644 686769732723871.12500
     170 686769732723871.25000   -0.11692 686769732723871.12500
     180 686769732723871.37500   -0.11743 686769732723871.25000
     190 686769732723871.25000   -0.11796 686769732723871.12500
     200 686769732723871.25000   -0.11851 686769732723871.12500
     210 686769732723871.12500   -0.11907 686769732723871.00000
     220 686769732723871.37500   -0.11966 686769732723871.25000
     230 686769732723871.25000   -0.12027 686769732723871.12500
     240 686769732723871.25000   -0.12090 686769732723871.12500
     250 686769732723871.12500   -0.12155 686769732723871.00000
     260 686769732723871.25000   -0.12223 686769732723871.12500
     270 686769732723871.25000   -0.12293 686769732723871.12500
     280 686769732723871.25000   -0.12365 686769732723871.12500
     290 686769732723871.37500   -0.12440 686769732723871.25000
     300 686769732723870.87500   -0.12518 686769732723870.75000
     310 686769732723871.12500   -0.12599 686769732723871.00000
     320 686769732723871.25000   -0.12682 686769732723871.12500
     330 686769732723871.25000   -0.12768 686769732723871.12500
     340 686769732723871.37500   -0.12858 686769732723871.25000
     350 686769732723871.12500   -0.12951 686769732723871.00000
     360 686769732723871.50000   -0.13047 686769732723871.37500
