   6.563    8.390    0.700
   8.555    9.266    0.104
   6.976    1.681    6.486
   1.576    8.812    7.930
   2.053    7.366    4.062
   9.226    3.419    1.328
   9.271    0.623    1.547
   9.216    2.980    3.269
   1.380    1.571    7.924
   2.107    0.120    6.314
   2.800    4.170    8.192
   7.521    3.634    2.744
   2.166    5.561    4.122
   8.725    2.207    7.171
   0.486    5.269    7.881
   1.075    8.086    2.390
   7.715    4.774    2.860
   9.724    3.628    4.086
   0.992    7.030    5.911
   0.338    6.503    7.732
   3.294    8.042    9.603
   7.434    0.919    1.587
   8.461    3.703    5.942
   9.903    0.038    4.022
   9.838    1.327    7.732
   1.662    0.049    8.451
   3.638    1.226    1.325
   9.575    6.533    6.451
   5.236    9.687    7.603
   5.347    2.274    7.517
   9.285    2.529    9.761
   2.983    0.951    2.819
   0.552    2.373    4.556
   1.056    2.778    6.878
   1.242    8.959    6.383
   0.989    5.045    5.731
   3.929    4.729    3.496
   4.565    3.475    4.788
   2.221    7.662    5.399
   0.221    3.895    7.315
   9.269    5.574    7.219
   2.721    4.912    3.089
   2.238    3.744    3.143
   2.193    8.421    6.919
   1.621    8.583    5.244
   0.502    8.530    7.412
   1.599    8.611    4.165
   4.025    0.025    1.573
   2.810    7.732    2.118
   4.814    8.110    8.792
   4.639    3.634    7.417
   2.457    9.237    4.158
   2.326    0.260    3.332
   6.564    9.618    6.067
   4.307    9.085    4.583
   6.494    0.899    8.303
   7.265    3.710    9.596
   3.396    1.565    7.123
   1.474    2.063    4.222
   2.435    4.394    7.076
   4.060    3.516    2.785
   6.405    4.128    1.526
   3.067    7.171    3.237
   7.434    4.231    5.451
   4.714    4.905    9.524
   3.879    9.003    0.163
   4.113    8.345    3.313
   4.198    7.176    6.008
   6.533    3.417    4.154
   4.063    5.067    6.215
   4.687    0.249    9.560
   4.714    1.271    1.374
   5.854    0.152    5.474
   1.205    1.333    6.095
   3.520    4.809    9.440
   6.400    9.416    1.088
   8.595    1.505    1.937
   8.603    9.868    1.740
   5.525    1.114    4.795
   5.568    9.321    6.488
   8.016    0.852    9.730
   7.677    0.032    8.573
   0.003    0.843    2.667
   5.551    2.567    2.551
   6.025    4.164    6.351
   6.208    4.995    9.749
   3.462    6.391    2.644
   8.749    2.468    0.816
   7.780    5.649    5.853
   5.522    1.432    6.536
   9.057    5.699    1.184
   4.161    7.751    1.619
   8.445    7.694    4.609
   6.070    4.116    5.274
   3.398    8.559    6.392
   7.855    8.617    1.002
   5.117    5.825    3.136
   4.549    9.623    5.446
   6.742    6.150    5.831
   7.368    9.059    9.590
   0.119    1.225    9.935
   9.231    8.118    1.738
   5.121    9.510    4.231
   3.801    1.373    5.381
   8.091    0.778    6.945
   9.538    9.979    6.808
   6.285    4.988    2.944
   9.491    2.076    4.411
   6.251    1.911    4.999
   8.382    1.614    7.951
   6.358    4.328    8.957
   7.241    2.470    2.002
   8.865    1.172    3.503
   7.001    5.532    6.845
   8.949    4.876    8.269
   7.191    6.783    8.903
   7.180    6.013    3.122
   9.346    4.722    3.162
   8.972    3.745    8.268
   8.188    6.020    8.217
   0.200    5.706    8.983
   7.660    9.824    5.393
   8.030    8.533    4.003
   7.122    0.363    6.655
   6.927    4.123    7.664
