32.316520 32.316520 32.316520
  32.145   31.634    0.083    -0.183   -0.086    0.124
  32.087    0.188    1.012    -0.473    0.970   -0.175
  32.188    0.477    2.214    -0.369    0.368    2.071
   0.520    0.342    3.228     0.314   -1.587   -0.244
   0.202   31.793    3.959    -1.038    1.632    0.138
   0.702    0.425    4.685     0.003    0.173   -0.139
   0.520    0.487    5.949     0.768   -0.384    0.000
  32.149    0.218    6.838    -0.151   -1.278    0.019
   0.661    0.028    8.553     0.072    1.586   -2.154
  32.202    0.597   10.315    -0.885    0.339   -0.255
   0.464   31.832   10.783     1.238    0.290   -1.929
  31.944   31.994   11.692     0.479   -1.549   -0.874
   0.089    0.331   13.498     0.026   -0.149    1.470
   0.107    0.415   14.550     0.650    0.374    0.802
   0.185    0.030   15.565     0.419    1.182    2.015
  32.069    0.289   17.174    -0.351    0.188    0.782
  31.937   31.879   17.930    -2.052   -0.454    1.380
  32.306   32.105   19.047    -0.393    0.375   -0.055
   0.802   31.591   19.655     0.470   -0.215   -0.773
  31.781    0.017   20.429     0.786   -1.070   -0.513
   0.178    0.133   21.192     1.013   -1.881    0.707
  32.110    0.345   22.213    -0.494    2.230   -1.699
  31.687    0.212   23.428    -0.540    0.721    0.438
  31.937   32.222   24.504    -0.108    0.827   -1.228
   0.908    0.591   25.694     1.612    0.116    0.900
   0.315    0.729   26.601    -2.681    1.026   -0.323
   0.310    1.224   27.973    -0.815    1.332   -0.526
  31.999   32.119   29.454    -1.740    0.168    2.583
   0.362   32.016   30.374    -2.523   -1.459   -0.181
   1.310    0.537   31.741     2.069   -0.399    0.838
   0.031    0.478    0.087    -0.383    0.294   -0.738
  32.231    1.874    0.604    -0.224    1.055   -0.075
   0.104    1.440    1.882    -1.395    0.005   -0.444
  31.532    0.897    3.077    -0.120   -0.605   -0.176
  32.135    1.043    4.223    -0.044    1.240   -0.778
  32.287    1.072    5.202    -0.938   -0.926    0.671
   0.784    1.634    6.074     0.682    1.889   -0.040
   0.393    1.409    8.219    -0.616   -0.349    2.167
  32.081    0.634    8.273     0.361    0.866    0.768
   0.233    0.656    9.273     0.790   -0.123   -0.529
  32.057    1.623   10.843    -2.677   -0.592   -0.861
   0.035    0.827   11.486    -0.706   -0.779    0.368
   0.259    0.482   12.432    -0.792   -1.314   -0.777
   0.404    1.811   14.056     1.150    0.727    0.209
  31.954    1.405   14.861     1.760   -0.541   -0.786
  31.998    0.912   15.841    -0.829    0.895   -0.111
   0.146    1.336   16.986     1.194   -0.685    0.157
   0.693    0.845   17.938     0.624   -1.730   -1.161
